"species","sp","wood_density","time"
"Dryobalanops lanceolata","Dry",0.421240903,"final"
"Parashorea malaanonan","Pmal",0.48723177,"final"
"Shorea xanthophylla","Sxan",0.573681349,"final"
"Shorea xanthophylla","Sxan",0.452919021,"final"
"Parashorea tomentella","Ptom",0.510787172,"final"
"Shorea johorensis","Sjoh",0.374640523,"final"
"Shorea seminis","Ssem",0.513213368,"final"
"Shorea parvifolia","Spar",0.36234353,"final"
"Dryobalanops lanceolata","Dry",0.388201272,"final"
"Parashorea malaanonan","Pmal",0.49790954,"final"
"Shorea leprosula","Slep",0.354206049,"final"
"Parashorea tomentella","Ptom",NA,"final"
"Shorea parvifolia","Spar",0.487843137,"final"
"Shorea xanthophylla","Sxan",0.538662581,"final"
"Shorea seminis","Ssem",NA,"final"
"Shorea johorensis","Sjoh",0.449612403,"final"
"Parashorea tomentella","Ptom",0.532341691,"final"
"Shorea beccariana","Sbec",0.396388262,"final"
"Parashorea malaanonan","Pmal",0.503170577,"final"
"Shorea xanthophylla","Sxan",0.570266974,"final"
"Shorea beccariana","Sbec",NA,"final"
"Shorea parvifolia","Spar",0.453002611,"final"
"Shorea johorensis","Sjoh",0.406784632,"final"
"Shorea leprosula","Slep",0.32303304,"final"
"Dryobalanops lanceolata","Dry",0.458183212,"final"
"Shorea seminis","Ssem",0.490732244,"final"
"Shorea smithiana","Ssmi",0.410517187,"final"
"Shorea smithiana","Ssmi",0.45892562,"final"
